caller_number,reports,average_risk,last_seen,total_victims,reputation_score
+917482425544,0,12.0,2026-07-01T05:44:14.618151+00:00,0,100
+919054216938,0,12.0,2026-07-01T05:44:14.618153+00:00,0,100
+918340787617,1,88.0,2026-07-01T05:44:14.618156+00:00,1,80
+918529955593,0,12.0,2026-07-01T05:44:14.618159+00:00,0,100
+919919550304,0,12.0,2026-07-01T05:44:14.618161+00:00,0,100
+919547685482,1,88.0,2026-07-01T05:44:14.618164+00:00,1,80
+917589353382,0,12.0,2026-07-01T05:44:14.618166+00:00,0,100
+917078612646,0,12.0,2026-07-01T05:44:14.618169+00:00,0,100
+917643140464,0,12.0,2026-07-01T05:44:14.618171+00:00,0,100
+917150794278,0,12.0,2026-07-01T05:44:14.618174+00:00,0,100
+919260661071,0,12.0,2026-07-01T05:44:14.618177+00:00,0,100
+916616629097,1,88.0,2026-07-01T05:44:14.618179+00:00,1,80
+918549297817,0,12.0,2026-07-01T05:44:14.618182+00:00,0,100
+919982858323,1,88.0,2026-07-01T05:44:14.618185+00:00,1,80
+918562851887,0,12.0,2026-07-01T05:44:14.618187+00:00,0,100
+916294227001,0,12.0,2026-07-01T05:44:14.618190+00:00,0,100
+916314001442,1,88.0,2026-07-01T05:44:14.618192+00:00,1,80
+917701569157,0,12.0,2026-07-01T05:44:14.618195+00:00,0,100
+918142145240,1,88.0,2026-07-01T05:44:14.618198+00:00,1,80
+917619719013,1,88.0,2026-07-01T05:44:14.618200+00:00,1,80
+916056199326,1,88.0,2026-07-01T05:44:14.618203+00:00,1,80
+918653958180,0,12.0,2026-07-01T05:44:14.618205+00:00,0,100
+918928588262,1,88.0,2026-07-01T05:44:14.618208+00:00,1,80
+918320528248,0,12.0,2026-07-01T05:44:14.618211+00:00,0,100
+919497695736,1,88.0,2026-07-01T05:44:14.618213+00:00,1,80
+918621436835,0,12.0,2026-07-01T05:44:14.618216+00:00,0,100
+917800000061,3,88.0,2026-07-01T05:44:14.618218+00:00,3,40
+919366051245,0,12.0,2026-07-01T05:44:14.618221+00:00,0,100
+918842611963,1,88.0,2026-07-01T05:44:14.618224+00:00,1,80
+919144913561,0,12.0,2026-07-01T05:44:14.618227+00:00,0,100
+916195732579,1,88.0,2026-07-01T05:44:14.618229+00:00,1,80
+916911235168,0,12.0,2026-07-01T05:44:14.618232+00:00,0,100
+917013546339,0,12.0,2026-07-01T05:44:14.618234+00:00,0,100
+919665482042,1,88.0,2026-07-01T05:44:14.618237+00:00,1,80
+918034865903,1,88.0,2026-07-01T05:44:14.618240+00:00,1,80
+916076968819,1,88.0,2026-07-01T05:44:14.618242+00:00,1,80
+919857001189,1,88.0,2026-07-01T05:44:14.618245+00:00,1,80
+919151988044,0,12.0,2026-07-01T05:44:14.618247+00:00,0,100
+919288190433,0,12.0,2026-07-01T05:44:14.618250+00:00,0,100
+917952484420,1,88.0,2026-07-01T05:44:14.618253+00:00,1,80
+918303526871,0,12.0,2026-07-01T05:44:14.618255+00:00,0,100
+919710113158,0,12.0,2026-07-01T05:44:14.618258+00:00,0,100
+916559414561,1,88.0,2026-07-01T05:44:14.618260+00:00,1,80
+919871363392,0,12.0,2026-07-01T05:44:14.618263+00:00,0,100
+919707255177,1,88.0,2026-07-01T05:44:14.618266+00:00,1,80
+916924659670,1,88.0,2026-07-01T05:44:14.618268+00:00,1,80
+918794447615,1,88.0,2026-07-01T05:44:14.618273+00:00,1,80
+918199462156,0,12.0,2026-07-01T05:44:14.618275+00:00,0,100
+919290088250,1,88.0,2026-07-01T05:44:14.618278+00:00,1,80
+919212269063,0,12.0,2026-07-01T05:44:14.618281+00:00,0,100
+916585668760,0,12.0,2026-07-01T05:44:14.618283+00:00,0,100
+916521857891,0,12.0,2026-07-01T05:44:14.618286+00:00,0,100
+919067994366,0,12.0,2026-07-01T05:44:14.618289+00:00,0,100
+919168303902,1,88.0,2026-07-01T05:44:14.618291+00:00,1,80
+916124443266,0,12.0,2026-07-01T05:44:14.618294+00:00,0,100
+918878642462,1,88.0,2026-07-01T05:44:14.618297+00:00,1,80
+916747858542,0,12.0,2026-07-01T05:44:14.618299+00:00,0,100
+918849043993,0,12.0,2026-07-01T05:44:14.618302+00:00,0,100
+917213552634,0,12.0,2026-07-01T05:44:14.618304+00:00,0,100
+917752431441,0,12.0,2026-07-01T05:44:14.618307+00:00,0,100
+917782774415,1,88.0,2026-07-01T05:44:14.618310+00:00,1,80
+916976126558,0,12.0,2026-07-01T05:44:14.618312+00:00,0,100
+916937802262,1,88.0,2026-07-01T05:44:14.618315+00:00,1,80
+919714604677,0,12.0,2026-07-01T05:44:14.618318+00:00,0,100
+917553111868,1,88.0,2026-07-01T05:44:14.618320+00:00,1,80
+919554533313,0,12.0,2026-07-01T05:44:14.618323+00:00,0,100
+918857161942,0,12.0,2026-07-01T05:44:14.618325+00:00,0,100
+919834967000,0,12.0,2026-07-01T05:44:14.618328+00:00,0,100
+918634999584,1,88.0,2026-07-01T05:44:14.618331+00:00,1,80
+919024419232,0,12.0,2026-07-01T05:44:14.618333+00:00,0,100
+917619925668,1,88.0,2026-07-01T05:44:14.618336+00:00,1,80
+916525489464,1,88.0,2026-07-01T05:44:14.618338+00:00,1,80
+918929275597,0,12.0,2026-07-01T05:44:14.618341+00:00,0,100
+919909914230,0,12.0,2026-07-01T05:44:14.618344+00:00,0,100
+917259900168,1,88.0,2026-07-01T05:44:14.618346+00:00,1,80
+918352946321,1,88.0,2026-07-01T05:44:14.618349+00:00,1,80
+918344926542,1,88.0,2026-07-01T05:44:14.618351+00:00,1,80
+917250332517,1,88.0,2026-07-01T05:44:14.618355+00:00,1,80
+917622459700,0,12.0,2026-07-01T05:44:14.618358+00:00,0,100
+917291550414,1,88.0,2026-07-01T05:44:14.618361+00:00,1,80
+917041383905,1,88.0,2026-07-01T05:44:14.618364+00:00,1,80
+919727430800,0,12.0,2026-07-01T05:44:14.618367+00:00,0,100
+916814507658,0,12.0,2026-07-01T05:44:14.618371+00:00,0,100
+918357655426,1,88.0,2026-07-01T05:44:14.618374+00:00,1,80
+919602729528,0,12.0,2026-07-01T05:44:14.618377+00:00,0,100
+918620940584,0,12.0,2026-07-01T05:44:14.618381+00:00,0,100
+916601114497,0,12.0,2026-07-01T05:44:14.618384+00:00,0,100
+918380107306,1,88.0,2026-07-01T05:44:14.618387+00:00,1,80
+919864193629,0,12.0,2026-07-01T05:44:14.618390+00:00,0,100
+916798097880,1,88.0,2026-07-01T05:44:14.618394+00:00,1,80
+917900857705,0,12.0,2026-07-01T05:44:14.618397+00:00,0,100
+916650118104,0,12.0,2026-07-01T05:44:14.618400+00:00,0,100
+919960379054,0,12.0,2026-07-01T05:44:14.618403+00:00,0,100
+919101342515,0,12.0,2026-07-01T05:44:14.618406+00:00,0,100
+919910746129,0,12.0,2026-07-01T05:44:14.618408+00:00,0,100
+919378680434,1,88.0,2026-07-01T05:44:14.618411+00:00,1,80
+917128681535,1,88.0,2026-07-01T05:44:14.618414+00:00,1,80
+918492205602,1,88.0,2026-07-01T05:44:14.618416+00:00,1,80
+917525529100,0,12.0,2026-07-01T05:44:14.618419+00:00,0,100
+917193515683,1,88.0,2026-07-01T05:44:14.618421+00:00,1,80
+918429949682,1,88.0,2026-07-01T05:44:14.618424+00:00,1,80
+916263424208,0,12.0,2026-07-01T05:44:14.618427+00:00,0,100
+916531490728,0,12.0,2026-07-01T05:44:14.618429+00:00,0,100
+918386782288,1,88.0,2026-07-01T05:44:14.618432+00:00,1,80
+919602250448,0,12.0,2026-07-01T05:44:14.618434+00:00,0,100
+917796064015,0,12.0,2026-07-01T05:44:14.618437+00:00,0,100
+916823722129,0,12.0,2026-07-01T05:44:14.618440+00:00,0,100
+918612704532,1,88.0,2026-07-01T05:44:14.618442+00:00,1,80
+919105492529,0,12.0,2026-07-01T05:44:14.618445+00:00,0,100
+918844008602,0,12.0,2026-07-01T05:44:14.618448+00:00,0,100
+918677754681,0,12.0,2026-07-01T05:44:14.618450+00:00,0,100
+916659005842,0,12.0,2026-07-01T05:44:14.618453+00:00,0,100
+916696190349,1,88.0,2026-07-01T05:44:14.618455+00:00,1,80
